BuildingAge,Surface moyenne par étage,Ratio Largest Use / Total,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,PropertyCategory,SiteEnergyUse(kBtu),PrimaryEnergyType_Electricity,PrimaryEnergyType_Mixed,PrimaryEnergyType_NaturalGas,PropertyCategory_Healthcare,PropertyCategory_Hospitality,PropertyCategory_Industrial & Storage,PropertyCategory_Mixed Use,PropertyCategory_Office,PropertyCategory_Other,PropertyCategory_Public / Institutional,PropertyCategory_Retail & Food
92,6895.333333333333,1.0,1.0,3,20686,0,20686,20686.0,0.0,Other,1207504.0,0,0,1,0,0,0,0,0,1,0,0
11,14754.0,0.37528805747593874,0.0,2,29508,7120,22388,11074.0,8183.0,Mixed Use,2217620.0,0,0,1,0,0,0,1,0,0,0,0
103,6997.333333333333,1.171875,1.0,3,20992,0,20992,24600.0,4625.0,Other,2473302.0,0,0,1,0,0,0,0,0,1,0,0
91,11172.0,1.0,1.0,2,22344,0,22344,22344.0,0.0,Education,1522596.75,0,0,1,0,0,0,0,0,0,0,0
95,10633.333333333334,0.8150470219435737,1.0,3,31900,0,31900,26000.0,0.0,Education,2466100.0,0,0,1,0,0,0,0,0,0,0,0
66,14708.5,0.6285141244858415,1.0,2,29417,0,29417,18489.0,8946.0,Other,1631479.125,0,1,0,0,0,0,0,0,1,0,0
19,31841.0,0.9704155020256902,1.0,1,31841,0,31841,30899.0,942.0,Retail & Food,13140574.0,0,1,0,0,0,0,0,0,0,0,1
28,10518.0,0.5239113899980985,1.0,2,21036,0,21036,11021.0,8164.0,Mixed Use,2735811.5,0,1,0,0,0,0,1,0,0,0,0
17,16464.0,0.7376093294460642,1.0,2,32928,0,32928,24288.0,16710.0,Mixed Use,5652231.0,1,0,0,0,0,0,1,0,0,0,0
62,10019.5,1.0,1.0,2,20039,0,20039,20039.0,0.0,Public / Institutional,104722.2969,1,0,0,0,0,0,0,0,0,1,0
88,27471.5,1.0419343683453761,1.0,2,54943,0,54943,57247.0,0.0,Education,2155390.25,0,0,1,0,0,0,0,0,0,0,0
56,44476.0,0.9276014030038673,1.0,1,44476,0,44476,41256.0,0.0,Industrial & Storage,1368120.5,1,0,0,0,0,1,0,0,0,0,0
47,35017.0,0.5650112802353143,1.0,1,35017,0,35017,19785.0,10234.0,Office,1295485.25,1,0,0,0,0,0,0,1,0,0,0
53,11476.0,1.0004356918787034,1.0,2,22952,0,22952,22962.0,0.0,Public / Institutional,470666.6875,0,0,1,0,0,0,0,0,0,1,0
40,21040.0,1.0,1.0,1,21040,0,21040,21040.0,0.0,Industrial & Storage,592088.125,0,1,0,0,0,1,0,0,0,0,0
65,14016.0,1.0702054794520548,1.0,2,28032,0,28032,30000.0,0.0,Industrial & Storage,1321065.0,0,0,1,0,0,1,0,0,0,0,0
42,25620.0,1.0,1.0,1,25620,0,25620,25620.0,0.0,Industrial & Storage,550324.1875,0,0,1,0,0,1,0,0,0,0,0
24,11079.333333333334,1.0,1.0,3,33238,0,33238,33238.0,0.0,Industrial & Storage,1632472.0,1,0,0,0,0,1,0,0,0,0,0
104,6950.0,0.39902877697841727,1.0,4,27800,0,27800,11093.0,0.0,Education,1181428.75,0,1,0,0,0,0,0,0,0,0,0
16,117696.0,0.31551199700924415,1.0,6,706176,0,706176,222807.0,78049.0,Office,13270687.0,1,0,0,0,0,0,0,1,0,0,0
18,33706.0,0.9418501157064024,1.0,1,33706,0,33706,31746.0,0.0,Retail & Food,8687690.0,1,0,0,0,0,0,0,0,0,0,1
55,18800.0,0.48936170212765956,1.0,2,37600,0,37600,18400.0,16200.0,Mixed Use,2171751.5,0,0,1,0,0,0,1,0,0,0,0
62,42128.0,1.0,1.0,1,42128,0,42128,42128.0,0.0,Education,1709307.5,0,1,0,0,0,0,0,0,0,0,0
84,22376.5,1.0400420083569817,1.0,2,44753,0,44753,46545.0,0.0,Education,1638691.625,0,0,1,0,0,0,0,0,0,0,0
104,11236.0,1.0,1.0,3,33708,0,33708,33708.0,0.0,Other,786324.0,1,0,0,0,0,0,0,0,1,0,0
68,23618.5,1.0089760145648539,1.0,2,47237,0,47237,47661.0,0.0,Other,5981430.0,1,0,0,0,0,0,0,0,1,0,0
